Instancia;Run;Tempo(s);CustoFinal;Target;AtingiuTarget?
Instance_L_20_01.txt;1;9.99;11904.00;10443;Nao
Instance_L_20_01.txt;2;9.99;11904.00;10443;Nao
Instance_L_20_01.txt;3;9.99;11904.00;10443;Nao
Instance_L_20_02.txt;1;9.98;10447.00;8687;Nao
Instance_L_20_02.txt;2;9.99;10673.00;8687;Nao
Instance_L_20_02.txt;3;9.98;10384.00;8687;Nao
Instance_L_20_03.txt;1;9.99;9893.00;8435;Nao
Instance_L_20_03.txt;2;9.99;9616.00;8435;Nao
Instance_L_20_03.txt;3;9.99;9591.00;8435;Nao
Instance_L_20_04.txt;1;10.00;11889.00;10791;Nao
Instance_L_20_04.txt;2;10.00;12036.00;10791;Nao
Instance_L_20_04.txt;3;9.99;12588.00;10791;Nao
Instance_L_20_05.txt;1;9.99;12638.00;11687;Nao
Instance_L_20_05.txt;2;9.99;12577.00;11687;Nao
Instance_L_20_05.txt;3;9.99;12638.00;11687;Nao
Instance_L_22_01.txt;1;9.98;11558.00;10290;Nao
Instance_L_22_01.txt;2;9.98;11572.00;10290;Nao
Instance_L_22_01.txt;3;10.00;11710.00;10290;Nao
Instance_L_22_02.txt;1;9.99;13454.00;10936;Nao
Instance_L_22_02.txt;2;9.98;13153.00;10936;Nao
Instance_L_22_02.txt;3;9.98;13530.00;10936;Nao
Instance_L_22_03.txt;1;9.98;12547.00;10638;Nao
Instance_L_22_03.txt;2;9.98;12553.00;10638;Nao
Instance_L_22_03.txt;3;9.98;12547.00;10638;Nao
Instance_L_22_04.txt;1;9.99;12077.00;10224;Nao
Instance_L_22_04.txt;2;9.99;11890.00;10224;Nao
Instance_L_22_04.txt;3;10.00;12385.00;10224;Nao
Instance_L_22_05.txt;1;9.98;13784.00;11395;Nao
Instance_L_22_05.txt;2;10.00;13310.00;11395;Nao
Instance_L_22_05.txt;3;9.99;13116.00;11395;Nao
Instance_L_24_01.txt;1;9.99;14843.00;11501;Nao
Instance_L_24_01.txt;2;9.99;14816.00;11501;Nao
Instance_L_24_01.txt;3;10.00;12930.00;11501;Nao
Instance_L_24_02.txt;1;9.98;13658.00;10980;Nao
Instance_L_24_02.txt;2;9.99;14599.00;10980;Nao
Instance_L_24_02.txt;3;9.99;13670.00;10980;Nao
Instance_L_24_03.txt;1;9.99;11542.00;9929;Nao
Instance_L_24_03.txt;2;9.98;11566.00;9929;Nao
Instance_L_24_03.txt;3;9.99;11694.00;9929;Nao
Instance_L_24_04.txt;1;9.99;12266.00;10558;Nao
Instance_L_24_04.txt;2;9.99;12572.00;10558;Nao
Instance_L_24_04.txt;3;9.99;14437.00;10558;Nao
Instance_L_24_05.txt;1;10.00;10211.00;8730;Nao
Instance_L_24_05.txt;2;9.99;10453.00;8730;Nao
Instance_L_24_05.txt;3;9.98;10211.00;8730;Nao
Instance_L_50_01.txt;1;10.00;19572.00;15742;Nao
Instance_L_50_01.txt;2;9.99;21127.00;15742;Nao
Instance_L_50_01.txt;3;9.97;19680.00;15742;Nao
Instance_L_50_02.txt;1;9.98;19669.00;14423;Nao
Instance_L_50_02.txt;2;9.99;19435.00;14423;Nao
Instance_L_50_02.txt;3;9.99;18356.00;14423;Nao
Instance_L_50_03.txt;1;9.98;20070.00;14987;Nao
Instance_L_50_03.txt;2;9.98;19140.00;14987;Nao
Instance_L_50_03.txt;3;9.99;20283.00;14987;Nao
Instance_L_50_04.txt;1;9.99;19854.00;15556;Nao
Instance_L_50_04.txt;2;9.99;19857.00;15556;Nao
Instance_L_50_04.txt;3;9.99;19095.00;15556;Nao
Instance_L_50_05.txt;1;10.00;19065.00;14840;Nao
Instance_L_50_05.txt;2;9.98;19056.00;14840;Nao
Instance_L_50_05.txt;3;10.00;20005.00;14840;Nao
Instance_L_52_01.txt;1;9.98;20243.00;14729;Nao
Instance_L_52_01.txt;2;9.99;19069.00;14729;Nao
Instance_L_52_01.txt;3;9.99;19573.00;14729;Nao
Instance_L_52_02.txt;1;9.98;21418.00;17146;Nao
Instance_L_52_02.txt;2;9.99;20933.00;17146;Nao
Instance_L_52_02.txt;3;9.98;21173.00;17146;Nao
Instance_L_52_03.txt;1;9.99;20995.00;15547;Nao
Instance_L_52_03.txt;2;9.98;21609.00;15547;Nao
Instance_L_52_03.txt;3;9.98;20602.00;15547;Nao
Instance_L_52_04.txt;1;9.98;19105.00;14576;Nao
Instance_L_52_04.txt;2;10.00;18952.00;14576;Nao
Instance_L_52_04.txt;3;9.98;18687.00;14576;Nao
Instance_L_52_05.txt;1;9.99;18101.00;14675;Nao
Instance_L_52_05.txt;2;9.98;18688.00;14675;Nao
Instance_L_52_05.txt;3;9.99;19672.00;14675;Nao
Instance_L_54_01.txt;1;9.99;21769.00;15933;Nao
Instance_L_54_01.txt;2;9.99;21913.00;15933;Nao
Instance_L_54_01.txt;3;9.99;20966.00;15933;Nao
Instance_L_54_02.txt;1;9.99;20205.00;15455;Nao
Instance_L_54_02.txt;2;9.99;19450.00;15455;Nao
Instance_L_54_02.txt;3;9.99;22111.00;15455;Nao
Instance_L_54_03.txt;1;10.00;20496.00;15858;Nao
Instance_L_54_03.txt;2;10.00;20101.00;15858;Nao
Instance_L_54_03.txt;3;9.99;19947.00;15858;Nao
Instance_L_54_04.txt;1;9.98;20764.00;14848;Nao
Instance_L_54_04.txt;2;9.98;20397.00;14848;Nao
Instance_L_54_04.txt;3;9.99;20040.00;14848;Nao
Instance_L_54_05.txt;1;9.98;21999.00;16566;Nao
Instance_L_54_05.txt;2;9.99;20766.00;16566;Nao
Instance_L_54_05.txt;3;9.99;21032.00;16566;Nao
Instance_M_100_01.txt;1;9.98;30158.00;20159;Nao
Instance_M_100_01.txt;2;9.99;28770.00;20159;Nao
Instance_M_100_01.txt;3;10.00;28082.00;20159;Nao
Instance_M_100_02.txt;1;9.98;14431.00;10355;Nao
Instance_M_100_02.txt;2;9.99;13849.00;10355;Nao
Instance_M_100_02.txt;3;10.00;14021.00;10355;Nao
Instance_M_100_03.txt;1;10.00;27371.00;17801;Nao
Instance_M_100_03.txt;2;9.98;27433.00;17801;Nao
Instance_M_100_03.txt;3;10.00;27482.00;17801;Nao
Instance_M_100_04.txt;1;10.00;26395.00;19267;Nao
Instance_M_100_04.txt;2;9.97;28756.00;19267;Nao
Instance_M_100_04.txt;3;9.98;26073.00;19267;Nao
Instance_M_100_05.txt;1;9.97;30770.00;20969;Nao
Instance_M_100_05.txt;2;9.97;31535.00;20969;Nao
Instance_M_100_05.txt;3;10.00;29549.00;20969;Nao
Instance_M_102_01.txt;1;9.98;26859.00;18403;Nao
Instance_M_102_01.txt;2;9.99;26844.00;18403;Nao
Instance_M_102_01.txt;3;9.99;27152.00;18403;Nao
Instance_M_102_02.txt;1;9.99;26069.00;18450;Nao
Instance_M_102_02.txt;2;9.99;25469.00;18450;Nao
Instance_M_102_02.txt;3;9.97;26465.00;18450;Nao
Instance_M_102_03.txt;1;9.99;32132.00;22733;Nao
Instance_M_102_03.txt;2;10.00;30532.00;22733;Nao
Instance_M_102_03.txt;3;9.98;31887.00;22733;Nao
Instance_M_102_04.txt;1;9.99;29521.00;21073;Nao
Instance_M_102_04.txt;2;10.00;29893.00;21073;Nao
Instance_M_102_04.txt;3;9.98;30319.00;21073;Nao
Instance_M_102_05.txt;1;10.00;29081.00;22052;Nao
Instance_M_102_05.txt;2;9.99;28495.00;22052;Nao
Instance_M_102_05.txt;3;9.99;30145.00;22052;Nao
Instance_M_104_01.txt;1;9.98;27149.00;20694;Nao
Instance_M_104_01.txt;2;9.98;29295.00;20694;Nao
Instance_M_104_01.txt;3;9.99;27644.00;20694;Nao
Instance_M_104_02.txt;1;9.97;15119.00;10496;Nao
Instance_M_104_02.txt;2;9.98;15372.00;10496;Nao
Instance_M_104_02.txt;3;9.98;15364.00;10496;Nao
Instance_M_104_03.txt;1;9.99;25553.00;19171;Nao
Instance_M_104_03.txt;2;10.00;27187.00;19171;Nao
Instance_M_104_03.txt;3;10.00;26699.00;19171;Nao
Instance_M_104_04.txt;1;9.97;27049.00;19369;Nao
Instance_M_104_04.txt;2;9.99;29915.00;19369;Nao
Instance_M_104_04.txt;3;10.00;27754.00;19369;Nao
Instance_M_104_05.txt;1;9.99;29533.00;21378;Nao
Instance_M_104_05.txt;2;9.98;31026.00;21378;Nao
Instance_M_104_05.txt;3;10.00;31359.00;21378;Nao
Instance_M_10_01.txt;1;1.19336;6655;6655;Sim
Instance_M_10_01.txt;2;0.176339;6655;6655;Sim
Instance_M_10_01.txt;3;0.302684;6655;6655;Sim
Instance_M_10_02.txt;1;0.062312;8775;8775;Sim
Instance_M_10_02.txt;2;0.108618;8775;8775;Sim
Instance_M_10_02.txt;3;0.174181;8775;8775;Sim
Instance_M_10_03.txt;1;0.882958;8371;8371;Sim
Instance_M_10_03.txt;2;3.10758;8371;8371;Sim
Instance_M_10_03.txt;3;1.76167;8371;8371;Sim
Instance_M_10_04.txt;1;0.00422;6984;6984;Sim
Instance_M_10_04.txt;2;0.051202;6984;6984;Sim
Instance_M_10_04.txt;3;0.02149;6984;6984;Sim
Instance_M_10_05.txt;1;0.961162;5987;5987;Sim
Instance_M_10_05.txt;2;0.944112;5987;5987;Sim
Instance_M_10_05.txt;3;2.38143;5987;5987;Sim
Instance_M_12_01.txt;1;0.192129;7707;7707;Sim
Instance_M_12_01.txt;2;0.086875;7707;7707;Sim
Instance_M_12_01.txt;3;0.081575;7707;7707;Sim
Instance_M_12_02.txt;1;9.01637;9135;9135;Sim
Instance_M_12_02.txt;2;9.98;9435.00;9135;Nao
Instance_M_12_02.txt;3;0.919024;9135;9135;Sim
Instance_M_12_03.txt;1;0.366914;7868;7868;Sim
Instance_M_12_03.txt;2;0.381362;7868;7868;Sim
Instance_M_12_03.txt;3;0.380014;7868;7868;Sim
Instance_M_12_04.txt;1;0.612593;7614;7614;Sim
Instance_M_12_04.txt;2;0.099328;7614;7614;Sim
Instance_M_12_04.txt;3;0.241654;7614;7614;Sim
Instance_M_12_05.txt;1;0.024521;8872;8872;Sim
Instance_M_12_05.txt;2;0.172113;8872;8872;Sim
Instance_M_12_05.txt;3;0.078228;8872;8872;Sim
Instance_M_14_01.txt;1;5.80425;7410;7410;Sim
Instance_M_14_01.txt;2;0.672238;7410;7410;Sim
Instance_M_14_01.txt;3;2.67222;7410;7410;Sim
Instance_M_14_02.txt;1;9.65133;7076;7076;Sim
Instance_M_14_02.txt;2;1.81794;7076;7076;Sim
Instance_M_14_02.txt;3;10.00;7730.00;7076;Nao
Instance_M_14_03.txt;1;1.89669;8779;8779;Sim
Instance_M_14_03.txt;2;0.818129;8779;8779;Sim
Instance_M_14_03.txt;3;0.257035;8779;8779;Sim
Instance_M_14_04.txt;1;1.53384;11123;11123;Sim
Instance_M_14_04.txt;2;0.82467;11123;11123;Sim
Instance_M_14_04.txt;3;0.141699;11123;11123;Sim
Instance_M_14_05.txt;1;10.00;10576.00;10156;Nao
Instance_M_14_05.txt;2;9.99;10609.00;10156;Nao
Instance_M_14_05.txt;3;10.00;10674.00;10156;Nao
Instance_M_20_01.txt;1;10.00;11939.00;10851;Nao
Instance_M_20_01.txt;2;9.99;11939.00;10851;Nao
Instance_M_20_01.txt;3;10.00;11939.00;10851;Nao
Instance_M_20_02.txt;1;9.99;9818.00;8900;Nao
Instance_M_20_02.txt;2;9.99;10190.00;8900;Nao
Instance_M_20_02.txt;3;9.99;10122.00;8900;Nao
Instance_M_20_03.txt;1;10.00;9629.00;8649;Nao
Instance_M_20_03.txt;2;10.00;9805.00;8649;Nao
Instance_M_20_03.txt;3;9.99;9825.00;8649;Nao
Instance_M_20_04.txt;1;10.00;11823.00;10964;Nao
Instance_M_20_04.txt;2;9.98;12492.00;10964;Nao
Instance_M_20_04.txt;3;10.00;12492.00;10964;Nao
Instance_M_20_05.txt;1;10.00;12740.00;12022;Nao
Instance_M_20_05.txt;2;10.00;12593.00;12022;Nao
Instance_M_20_05.txt;3;9.99;12661.00;12022;Nao
Instance_M_22_01.txt;1;10.00;11596.00;10456;Nao
Instance_M_22_01.txt;2;9.98;11754.00;10456;Nao
Instance_M_22_01.txt;3;9.99;11686.00;10456;Nao
Instance_M_22_02.txt;1;9.98;13037.00;11185;Nao
Instance_M_22_02.txt;2;9.98;13128.00;11185;Nao
Instance_M_22_02.txt;3;9.98;13239.00;11185;Nao
Instance_M_22_03.txt;1;10.00;12118.00;10801;Nao
Instance_M_22_03.txt;2;9.98;12384.00;10801;Nao
Instance_M_22_03.txt;3;9.98;12118.00;10801;Nao
Instance_M_22_04.txt;1;9.99;11685.00;10376;Nao
Instance_M_22_04.txt;2;9.98;11560.00;10376;Nao
Instance_M_22_04.txt;3;10.00;12796.00;10376;Nao
Instance_M_22_05.txt;1;9.99;12924.00;11660;Nao
Instance_M_22_05.txt;2;9.98;12924.00;11660;Nao
Instance_M_22_05.txt;3;9.98;12924.00;11660;Nao
Instance_M_24_01.txt;1;9.99;13407.00;11626;Nao
Instance_M_24_01.txt;2;9.99;13063.00;11626;Nao
Instance_M_24_01.txt;3;9.99;13063.00;11626;Nao
Instance_M_24_02.txt;1;9.99;13071.00;11174;Nao
Instance_M_24_02.txt;2;9.99;13071.00;11174;Nao
Instance_M_24_02.txt;3;9.99;13472.00;11174;Nao
Instance_M_24_03.txt;1;10.00;11461.00;10310;Nao
Instance_M_24_03.txt;2;9.99;12196.00;10310;Nao
Instance_M_24_03.txt;3;9.99;11487.00;10310;Nao
Instance_M_24_04.txt;1;9.99;12038.00;10822;Nao
Instance_M_24_04.txt;2;9.99;12772.00;10822;Nao
Instance_M_24_04.txt;3;10.00;12239.00;10822;Nao
Instance_M_24_05.txt;1;9.99;10352.00;8820;Nao
Instance_M_24_05.txt;2;9.99;10289.00;8820;Nao
Instance_M_24_05.txt;3;9.98;10201.00;8820;Nao
Instance_M_50_01.txt;1;9.98;20112.00;15843;Nao
Instance_M_50_01.txt;2;9.99;19347.00;15843;Nao
Instance_M_50_01.txt;3;10.00;20439.00;15843;Nao
Instance_M_50_02.txt;1;9.98;18380.00;14581;Nao
Instance_M_50_02.txt;2;9.99;18391.00;14581;Nao
Instance_M_50_02.txt;3;9.99;18457.00;14581;Nao
Instance_M_50_03.txt;1;9.98;20227.00;15731;Nao
Instance_M_50_03.txt;2;10.00;19536.00;15731;Nao
Instance_M_50_03.txt;3;9.98;20807.00;15731;Nao
Instance_M_50_04.txt;1;9.99;19581.00;15601;Nao
Instance_M_50_04.txt;2;9.98;20228.00;15601;Nao
Instance_M_50_04.txt;3;9.98;19611.00;15601;Nao
Instance_M_50_05.txt;1;9.99;19415.00;15040;Nao
Instance_M_50_05.txt;2;9.99;20762.00;15040;Nao
Instance_M_50_05.txt;3;9.98;20054.00;15040;Nao
Instance_M_52_01.txt;1;9.98;20123.00;14851;Nao
Instance_M_52_01.txt;2;9.99;18948.00;14851;Nao
Instance_M_52_01.txt;3;9.98;21084.00;14851;Nao
Instance_M_52_02.txt;1;9.98;21767.00;16971;Nao
Instance_M_52_02.txt;2;9.98;21396.00;16971;Nao
Instance_M_52_02.txt;3;9.99;21663.00;16971;Nao
Instance_M_52_03.txt;1;10.00;19814.00;15745;Nao
Instance_M_52_03.txt;2;9.99;20324.00;15745;Nao
Instance_M_52_03.txt;3;10.00;20454.00;15745;Nao
Instance_M_52_04.txt;1;9.98;19371.00;14806;Nao
Instance_M_52_04.txt;2;9.99;19531.00;14806;Nao
Instance_M_52_04.txt;3;9.99;19634.00;14806;Nao
Instance_M_52_05.txt;1;9.98;18811.00;14773;Nao
Instance_M_52_05.txt;2;9.99;19358.00;14773;Nao
Instance_M_52_05.txt;3;9.98;19042.00;14773;Nao
Instance_M_54_01.txt;1;9.98;20521.00;16146;Nao
Instance_M_54_01.txt;2;9.97;21417.00;16146;Nao
Instance_M_54_01.txt;3;9.98;20059.00;16146;Nao
Instance_M_54_02.txt;1;9.99;20664.00;15540;Nao
Instance_M_54_02.txt;2;10.00;19093.00;15540;Nao
Instance_M_54_02.txt;3;9.97;19670.00;15540;Nao
Instance_M_54_03.txt;1;9.99;20029.00;15944;Nao
Instance_M_54_03.txt;2;9.99;20046.00;15944;Nao
Instance_M_54_03.txt;3;9.98;19330.00;15944;Nao
Instance_M_54_04.txt;1;10.00;21050.00;14882;Nao
Instance_M_54_04.txt;2;9.98;19773.00;14882;Nao
Instance_M_54_04.txt;3;9.99;19708.00;14882;Nao
Instance_M_54_05.txt;1;9.98;20799.00;16705;Nao
Instance_M_54_05.txt;2;9.99;20604.00;16705;Nao
Instance_M_54_05.txt;3;9.99;22917.00;16705;Nao
Instance_S_100_01.txt;1;10.00;28122.00;20962;Nao
Instance_S_100_01.txt;2;9.97;31739.00;20962;Nao
Instance_S_100_01.txt;3;9.97;29162.00;20962;Nao
Instance_S_100_02.txt;1;9.98;13779.00;10446;Nao
Instance_S_100_02.txt;2;9.99;13728.00;10446;Nao
Instance_S_100_02.txt;3;9.98;13868.00;10446;Nao
Instance_S_100_03.txt;1;9.98;27372.00;19792;Nao
Instance_S_100_03.txt;2;9.98;25853.00;19792;Nao
Instance_S_100_03.txt;3;9.99;25856.00;19792;Nao
Instance_S_100_04.txt;1;9.98;26952.00;19509;Nao
Instance_S_100_04.txt;2;9.96;27541.00;19509;Nao
Instance_S_100_04.txt;3;10.00;28038.00;19509;Nao
Instance_S_100_05.txt;1;9.99;32257.00;21655;Nao
Instance_S_100_05.txt;2;9.99;29246.00;21655;Nao
Instance_S_100_05.txt;3;10.00;28672.00;21655;Nao
Instance_S_102_01.txt;1;9.98;25839.00;18938;Nao
Instance_S_102_01.txt;2;9.99;26056.00;18938;Nao
Instance_S_102_01.txt;3;9.97;26050.00;18938;Nao
Instance_S_102_02.txt;1;9.98;26110.00;19175;Nao
Instance_S_102_02.txt;2;9.98;24818.00;19175;Nao
Instance_S_102_02.txt;3;9.99;25758.00;19175;Nao
Instance_S_102_03.txt;1;10.00;30555.00;23137;Nao
Instance_S_102_03.txt;2;9.99;29419.00;23137;Nao
Instance_S_102_03.txt;3;9.99;30840.00;23137;Nao
Instance_S_102_04.txt;1;9.99;30034.00;21847;Nao
Instance_S_102_04.txt;2;9.99;30479.00;21847;Nao
Instance_S_102_04.txt;3;9.98;30065.00;21847;Nao
Instance_S_102_05.txt;1;9.99;29368.00;22434;Nao
Instance_S_102_05.txt;2;9.98;30306.00;22434;Nao
Instance_S_102_05.txt;3;9.99;30316.00;22434;Nao
Instance_S_104_01.txt;1;10.00;28428.00;20960;Nao
Instance_S_104_01.txt;2;9.97;28025.00;20960;Nao
Instance_S_104_01.txt;3;9.99;29060.00;20960;Nao
Instance_S_104_02.txt;1;9.99;14678.00;10517;Nao
Instance_S_104_02.txt;2;9.98;14288.00;10517;Nao
Instance_S_104_02.txt;3;10.00;14492.00;10517;Nao
Instance_S_104_03.txt;1;9.98;26673.00;19805;Nao
Instance_S_104_03.txt;2;9.99;26762.00;19805;Nao
